Code_postal,Code_commune,taux_absent_non_excuse,age_moyen,count
75001,75101,0.052294197,32.39473684,38
75002,75102,0.036585366,32.07317073,41
75003,75103,0.067647059,33.58823529,85
75004,75104,0.068647876,33.35380835,408
75005,75105,0.097449347,33.6969697,463
75006,75106,0.096153846,32.75641026,78
75007,75107,0.076020408,31.51428571,70
75008,75108,0.147058824,31.52941176,34
75009,75109,0.084689922,33.88372093,86
75010,75110,0.124550898,32.19161677,167
75011,75111,0.083385943,34.86174242,528
75012,75112,0.09219231,36.09702584,2065
75013,75113,0.089898048,34.27937337,1149
75014,75114,0.109056122,33.94285714,280
75015,75115,0.091908213,31.42028986,276
75016,75116,0.109243697,31.71428571,119
75017,75117,0.172427984,31.61728395,162
75018,75118,0.141761747,32.5465587,247
75019,75119,0.119481062,34.78571429,294
75020,75120,0.128049677,35.72916667,432
75116,75116,0.103174603,31.07142857,42
75912,0,0.0625,41.75,4
92000,92050,0.084677419,31.5483871,62
92100,92012,0.090163934,32.27868852,61
92110,92024,0.166666667,33.51851852,27
92120,92049,0.06,28.94,50
92130,92040,0.123655914,32.80645161,31
92140,92023,0.15,31.7,20
92150,92073,0.181818182,32.54545455,11
92160,92002,0.083333333,28.65384615,26
92170,92075,0.126373626,34.92307692,13
92190,92048,0.033333333,39.13333333,15
92200,92051,0.111111111,31.03333333,30
92210,92064,0.05,28.5,10
92220,92007,0.12804878,34.56097561,41
92230,92036,0.340909091,32.90909091,22
92240,92046,0.154320988,30.40740741,27
92250,92035,0.166666667,33,9
92260,92032,0.25,32.91666667,12
92270,92009,0.25,33.44444444,9
92290,92019,0.095238095,29.33333333,21
92300,92044,0.044444444,33.5,30
92310,92072,0.111111111,30.22222222,9
92320,92020,0.111111111,32.38888889,18
92330,92071,0.076923077,35.69230769,13
92340,92014,0.166666667,33.55555556,18
92350,92060,0.125,31.625,8
92360,92048,0,26,5
92370,92022,0.058823529,30,17
92380,92033,0,33.6,5
92390,92078,0.1,36.3,10
92400,92026,0.127659574,30.27659574,47
92500,92063,0.048387097,31.83870968,31
92600,92004,0.144444444,35.64444444,45
92700,92025,0.128571429,32.94285714,35
92800,92062,0.1,32.2,15
93000,93008,0.19047619,35.02380952,42
93100,93048,0.121254682,37.43258427,178
93110,93064,0.051282051,32.33333333,39
93120,93027,0.133333333,34.92,25
93130,93053,0.128571429,31.8,35
93140,93010,0.196428571,30.67857143,28
93150,93007,0.12962963,28.55555556,18
93160,93051,0.098765432,39.30864198,81
93170,93006,0.144067797,36.25423729,59
93190,93046,0.166666667,34.7,20
93200,93066,0.168300654,34.31372549,51
93210,93066,0.071428571,30.42857143,21
93220,93032,0.15,42.6,20
93230,93063,0.296875,32.65625,32
93240,93072,0.2,29.2,15
93250,93077,0.21875,31.8125,16
93260,93045,0.104166667,35.91666667,24
93270,93071,0.083333333,34.44444444,18
93290,93073,0.222222222,35.44444444,18
93300,93001,0.137566138,33.11111111,63
93310,93061,0.208333333,36.4375,16
93320,93057,0.178571429,30.85714286,14
93330,93050,0.148,39.56,25
93340,93062,0,25.75,4
93350,93013,0,32.2,10
93360,93049,0.159090909,31.95454545,22
93370,93047,0,31.875,8
93380,93059,0.071428571,31.5,14
93390,93014,0.166666667,35.33333333,6
93400,93070,0.135714286,34.57142857,35
93410,93074,0,47.4,5
93420,93078,0.25,32.15384615,13
93430,93079,0.203703704,38,9
93460,93033,0,30.4,5
93470,93015,0,20.5,4
93500,93055,0.009259259,36.37037037,54
93600,93005,0.197368421,30.26315789,38
93700,93029,0.17089372,34.63043478,46
93800,93031,0.357142857,27.66666667,21
94000,94028,0.123728814,35.06779661,118
94100,94068,0.081081081,30.64864865,37
94110,94003,0.117647059,33.17647059,34
94120,94033,0.067901235,39.77777778,81
94130,94052,0.081232493,34.2745098,51
94140,94002,0.087020649,35.62831858,113
94160,94067,0.038461538,38.32307692,65
94170,94058,0,39.44827586,29
94190,94078,0.113636364,34.63636364,22
94200,94041,0.131840796,31.49253731,201
94210,94068,0.029411765,41.70588235,34
94220,94018,0.107692308,38.76923077,65
94230,94016,0.114130435,29.52173913,46
94240,94038,0.096491228,32.15789474,19
94250,94037,0.143939394,34.63636364,44
94260,94034,0.311111111,33.08333333,12
94270,94043,0.112068966,32.13793103,58
94290,94077,0.004464286,42.3125,16
94300,94080,0.070281124,37.87951807,83
94310,94054,0.2,35.1,20
94320,94073,0.115384615,33.71794872,39
94340,94042,0.160493827,38.11111111,27
94350,94079,0.133333333,36.41666667,24
94360,94015,0.083333333,35.44444444,18
94370,94071,0.214285714,34.85714286,14
94380,94011,0.027777778,38.41666667,12
94400,94081,0.049315068,35.43150685,146
94410,94069,0.111111111,41.33333333,36
94420,94059,0.095238095,27.14285714,7
94430,94019,0,28.28571429,7
94440,94075,0.4,33.8,5
94440,94070,0.4,33.8,5
94450,94044,0.117647059,34.23529412,17
94460,94074,0.3,32.4,10
94470,94004,0.266666667,32.33333333,15
94480,94001,0,33.28571429,7
94500,94017,0.102380952,35.46031746,63
94510,94060,0.4,36,6
94520,0,0.4,35.4,5
94550,94021,0.228070175,33.84210526,19
94600,94022,0.145454545,33.25454545,55
94700,94046,0.078125,39.65625,96
94800,94076,0.090239913,33.35877863,131
